Vi (Volts)	Is (mA)	Iz (mA)	V0 (Volts)
0	0	0	0
0.5	0.094	0	0.298
1	0.187	0	0.592
1.49	0.279	0	0.88
1.99	0.373	0	1.177
2.5	0.469	0	1.473
2.99	0.559	0	1.76
3.5	0.653	0.001	2.06
3.9	0.749	0.003	2.35
4.51	0.848	0.007	2.65
5.04	0.953	0.021	2.93
5.52	1.058	0.048	3.18
5.99	1.174	0.095	3.39
6.48	1.307	0.164	3.58
7.01	1.464	0.263	3.75
7.5	1.622	0.375	3.88
7.99	1.79	0.501	3.98
8.48	1.966	0.643	4.07
8.99	2.21	0.868	4.18
9.49	2.4	1.038	4.24
10	2.61	1.218	4.29
10.51	2.81	1.403	4.34
11.02	3.02	1.595	4.39
11.51	3.22	1.784	4.42
12.01	3.43	1.972	4.45
12.5	3.63	2.39	4.48
12.98	3.93	2.59	4.53
13.52	4.17	2.82	4.55
14.02	4.39	3.05	4.58
14.51	4.6	3.27	4.6
15	4.84	3.5	4.61
