V_i(V)	R_L(kO)	i_L(mA)	i_Z(mA)	V_o(V)
15	0	2.1	2.89	4.56
15	0.034	2.08	2.93	4.56
15	0.071	2.05	2.95	4.57
15	0.106	2.02	3.01	4.57
15	0.126	2	3.02	4.58
15	0.17	1.96	3.06	4.58
15	0.195	1.94	3.08	4.58
15	0.232	1.91	3.11	4.58
15	0.274	1.88	3.13	4.59
15	0.305	1.86	3.15	4.59
15	0.323	1.84	3.17	4.59
15	0.359	1.82	3.19	4.59
15	0.387	1.8	3.22	4.59
15	0.435	1.77	3.24	4.59
15	0.473	1.72	3.33	4.6
15	0.561	1.69	3.3	4.6
15	0.633	1.65	3.34	4.6
15	0.721	1.6	3.37	4.6
15	0.826	1.55	3.44	4.61
15	0.919	1.48	3.53	4.62
15	1.025	1.45	3.53	4.62
