0	0	0
70	0.1	0.0233
151	0.2	0.0367
226	0.3	0.0489
305	0.4	0.0584
385	0.5	0.0682
477	0.6	0.0677
549	0.7	0.0798
635	0.8	0.0837
720	0.89	0.0878
805	1	0.0978
882	1.1	0.1075
968	1.2	0.1122
1137	1.4	0.1335
1470	1.8	0.1444
1495	2.3	0.611
1.50E+03	2.7	1.021
1.49E+03	3	1.328
1522	4.98	3.27
1587	8	6.2
1751	11.97	9.99
0	0	0
72	0.1	0.0243
173	0.22	0.0393
251	0.31	0.0452
333	0.4	0.052
440	0.52	0.0562
508	0.6	0.0653
602	0.7	0.0686
696	0.8	0.0749
788	0.9	0.0781
878	1	0.0862
974	1.09	0.0876
1067	1.19	0.0894
1162	1.3	0.0955
1258	1.4	0.0997
1349	1.49	0.1004
1437	1.59	0.1051
1593	1.74	0.1063
1657	1.82	0.1102
1761	1.92	0.1146
1846	2	0.1179
1955	2.11	0.1214
2240	2.22	0.131
2330	2.32	0.141
2430	2.41	0.141
2550	2.52	0.149
2720	2.7	0.171
2950	2.9	0.177
3120	3.08	0.194
3300	3.33	0.269
3280	3.53	0.489
3290	3.7	0.65
3300	4.07	1.023
3310	4.5	1.443
3300	5	1.92
3450	8.05	4.85
3710	12.11	8.69
0	0	0.0069
87	0.1	0.0202
167	0.2	0.0295
274	0.31	0.0382
358	0.4	0.0451
459	0.51	0.0472
551	0.61	0.0516
634	0.7	0.0581
737	0.8	0.0603
818	0.89	0.0662
904	0.99	0.0675
997	1.08	0.0686
1108	1.2	0.0735
1209	1.3	0.0771
1319	1.42	0.0803
1358	1.47	0.0815
1499	1.61	0.0865
1599	1.71	0.0861
1669	1.78	0.0911
1894	2.02	0.0951
2240	2.19	0.1002
2540	2.48	0.1112
2860	2.8	0.1197
3110	3.04	0.1191
3280	3.21	0.1213
3490	3.42	0.1404
3650	3.62	0.1464
3880	3.79	0.1422
4180	4.09	0.1595
4430	4.33	0.1743
4600	4.5	0.189
4790	4.71	0.198
5040	4.94	0.228
5000	5.53	0.837
5030	5.97	1.221
5130	7.02	2.16
5370	8.96	3.86
5250	11.13	6.16
5340	11.98	6.96
